rssi,distanceFromRssi,receiver_lat,receiver_lon,transmitter_lat,transmitter_lon,target_lon,target_lat
-77.74878900000000,10.465356000000000,60.00975800000000,30.377302000000000,60.0097110000000,30.377310000000001,30.377306999999998,60.009672000000002
-78.18821400000000,10.893238000000000,60.00975800000000,30.377302000000000,60.00970900000000,30.377310999999999,30.377306999999998,60.009672000000002
-78.61421199999999,11.32473900000000,60.00975800000000,30.377302000000000,60.00970800000000,30.37731500000000,30.377306999999998,60.009672000000002
-79.02725700000001,11.759434000000001,60.00975800000000,30.377302000000000,60.00970500000000,30.377310999999999,30.377306999999998,60.009672000000002
-79.42780000000000,12.196901000000000,60.00975800000000,30.377302000000000,60.009703000000002,30.37731200000000,30.377306999999998,60.009672000000002
-79.81627200000000,12.63672500000000,60.00975800000000,30.377302000000000,60.009701000000000,30.37731200000000,30.377306999999998,60.009672000000002
-80.19308500000000,13.078497000000,60.00975800000000,30.377302000000000,60.009698999999998,30.377312000000000,30.377306999999998,60.009672000000002
-79.78797100000000,12.60415400000000,60.00975800000000,30.377302000000000,60.009701999999997,30.377312000000000,30.377306999999998,60.009672000000002
-79.99356200000000,12.842687000000000,60.00975800000000,30.377302000000000,60.00970000000000,30.377312000000000,30.377306999999998,60.009672000000002
-80.36388300000000,13.283792999999999,60.00975800000000,30.377302000000000,60.009706000000001,30.37736200000000,30.377306999999998,60.009672000000002
-80.75168900000000,13.761975000000000,60.00975800000000,30.377302000000000,60.00970400000000,30.3773640000000,30.377306999999998,60.009672000000002
-81.15646900000000,14.279456000000000,60.00975800000000,30.377302000000000,60.00969700000000,30.37734300000000,30.377306999999998,60.009672000000002
-81.43582900000000,14.647902000000000,60.00975800000000,30.377302000000000,60.009695999999998,30.377344999999998,30.377306999999998,60.009672000000002
-81.70699900000000,15.014637000000000,60.00975800000000,30.377302000000000,60.00969400000000,30.377345999999999,30.377306999999998,60.009672000000002
-81.71529900000000,15.026005000000000,60.00975800000000,30.377302000000000,60.00969400000000,30.377345999999999,30.377306999999998,60.009672000000002
-82.40261800000000,15.997940000000000,60.00975800000000,30.377302000000000,60.009701000000000,30.377215000000000,30.377306999999998,60.009672000000002
-82.44779100000000,16.06397800000000,60.00975800000000,30.377302000000000,60.00970100000000,30.377213999999999,30.377306999999998,60.009672000000002
